masks are: empty
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck14
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<502:38:25,  3.62s/it]
dA: 1.285; gA: 0.044;idtA: 0.036; ;dB: 0.383; gB: 0.018;cA: 0.058; cB: 0.050:   0%|          | 60/500000 [00:36<312:19:53,  2.25s/it]
dA: 0.951; gA: 0.006;idtA: 0.022; ;dB: 0.186; gB: 0.017;cA: 0.044; cB: 0.033:   0%|          | 60/500000 [00:36<312:19:53,  2.25s/it]
dA: 0.951; gA: 0.006;idtA: 0.022; ;dB: 0.186; gB: 0.017;cA: 0.044; cB: 0.033:   0%|          | 61/500000 [00:36<309:58:06,  2.23s/it]
dA: 0.934; gA: -0.007;idtA: 0.025; ;dB: 0.136; gB: 0.017;cA: 0.055; cB: 0.042:   0%|          | 61/500000 [00:36<309:58:06,  2.23s/it]
dA: 0.934; gA: -0.007;idtA: 0.025; ;dB: 0.136; gB: 0.017;cA: 0.055; cB: 0.042:   0%|          | 62/500000 [00:37<307:38:22,  2.22s/it]
dA: 0.887; gA: 0.001;idtA: 0.014; ;dB: 0.554; gB: 0.004;cA: 0.024; cB: 0.019:   0%|          | 62/500000 [00:37<307:38:22,  2.22s/it] 
dA: 0.887; gA: 0.001;idtA: 0.014; ;dB: 0.554; gB: 0.004;cA: 0.024; cB: 0.019:   0%|          | 63/500000 [00:38<305:19:48,  2.20s/it]
dA: 0.826; gA: 0.005;idtA: 0.026; ;dB: 0.205; gB: 0.017;cA: 0.054; cB: 0.057:   0%|          | 63/500000 [00:38<305:19:48,  2.20s/it]
dA: 0.826; gA: 0.005;idtA: 0.026; ;dB: 0.205; gB: 0.017;cA: 0.054; cB: 0.057:   0%|          | 64/500000 [00:38<303:03:08,  2.18s/it]
dA: 0.694; gA: 0.004;idtA: 0.036; ;dB: 0.334; gB: 0.017;cA: 0.088; cB: 0.074:   0%|          | 64/500000 [00:38<303:03:08,  2.18s/it]
